ccode,country_code,GPCP_g,GPCP_g_l,any_prio,lpopl1,lmtnest,Oil,ethfrac,relfrac,polity2l,gdp_g,gdp_g_l,y_0,Iccyear1,Iccyear2,Iccyear3,Iccyear4,Iccyear5,Iccyear6,Iccyear7,Iccyear8,Iccyear9,Iccyear10,Iccyear11,Iccyear12,Iccyear13,Iccyear14,Iccyear15,Iccyear16,Iccyear17,Iccyear18,Iccyear19,Iccyear20,Iccyear21,Iccyear22,Iccyear23,Iccyear24,Iccyear25,Iccyear26,Iccyear27,Iccyear28,Iccyear29,Iccyear30,Iccyear31,Iccyear32,Iccyear33,Iccyear34,Iccyear35,Iccyear36,Iccyear37,Iccyear38,Iccyear39,Iccyear40,Iccyear41
540,AGO,-.069490232,-.063349321,1,9.3638239,2.3702438,1,.78328174,.61220002,-3,.0024375962,.030391987,.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
540,AGO,.30919966,-.069490232,1,9.3928709,2.3702438,1,.78328174,.61220002,-3,-.0016530666,.0024375962,.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
434,BEN,-.031209763,-.081527591,0,8.1501789,0,0,.61817753,.46499997,-7,.05655304,.054924212,1.056,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.038273197,-.031209763,0,8.1797609,0,0,.61817753,.46499997,-7,-.13508923,.05655304,1.056,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,-.11017888,.038273197,0,8.210124,0,0,.61817753,.46499997,-7,-.0098231733,-.13508923,1.056,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.12808706,-.11017888,0,8.2411766,0,0,.61817753,.46499997,-7,.024801563,-.0098231733,1.056,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.016300341,.12808706,0,8.2728262,0,0,.61817753,.46499997,-7,.072604112,.024801563,1.056,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.0019970469,.016300341,0,8.3047419,0,0,.61817753,.46499997,-7,-.040613785,.072604112,1.056,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,-.10598074,.0019970469,0,8.3368692,0,0,.61817753,.46499997,-7,-.063969858,-.040613785,1.056,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.17481922,-.10598074,0,8.3689251,0,0,.61817753,.46499997,-7,0,-.063969858,1.056,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.11288025,.17481922,0,8.4008837,0,0,.61817753,.46499997,-7,-.074371859,0,1.056,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,-.21179771,.11288025,0,8.4325066,0,0,.61817753,.46499997,-7,-.0010857624,-.074371859,1.056,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.39833054,-.21179771,0,8.4637928,0,0,.61817753,.46499997,0,.028260829,-.0010857624,1.056,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,-.14058055,.39833054,0,8.4941292,0,0,.61817753,.46499997,6,.0099558029,.028260829,1.056,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,-.030846553,-.14058055,0,8.5271435,0,0,.61817753,.46499997,6,.0060863523,.0099558029,1.056,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.18389,-.030846553,0,8.5519342,0,0,.61817753,.46499997,6,.014470779,.0060863523,1.056,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,-.15752746,.18389,0,8.5801678,0,0,.61817753,.46499997,6,.017286263,.014470779,1.056,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.0053247963,-.15752746,0,8.6079473,0,0,.61817753,.46499997,6,.026479965,.017286263,1.056,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,-.029917803,.0053247963,0,8.6362057,0,0,.61817753,.46499997,6,.02861304,.026479965,1.056,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,.12649818,-.029917803,0,8.6649389,0,0,.61817753,.46499997,6,.01681591,.02861304,1.056,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,BEN,-.038862567,.12649818,0,8.69415,0,0,.61817753,.46499997,6,.020730998,.01681591,1.056,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
