zone,hhsex,AREAH,PRODQ,OWNTYPE1,EXT1,IRRG,FERT,D21B,woreda_id,id
14,Male,.200069,0,Rent,No,No,No,0,206,722
6,Male,.474797,5.17529,Rent,Yes,No,No,0,90,723
13,Male,.05892,1.41998,Owner,No,No,Yes,0,194,724
1,Female,.008861,.0443,Owner,No,No,No,0,2,725
9,Female,.022237,.11118,Owner,No,No,No,0,141,726
1,Male,.538071,3.17462,Rent,No,No,Yes,18.48,2,727
3,Male,.08222,2.38437,Owner,No,No,Yes,0,35,728
13,Male,.001479,.008491,Owner,No,No,Yes,7.04,194,729
2,Male,.010676,0,Owner,No,No,No,0,19,730
1,Male,.278958,1.754646,Owner,No,No,Yes,0,2,731
1,Male,.049632,.29283,Owner,No,No,Yes,12.48,2,732
3,Male,.018616,0,Owner,No,No,No,0,35,733
4,Male,.001978,.0091,Owner,No,No,No,0,55,734
17,Male,.305067,0,Owner,Yes,No,Yes,50,216,735
5,Male,.034489,3.431261,Owner,No,No,No,0,71,736
3,Male,.325487,9.439109999999999,Owner,No,No,No,0,35,737
6,Male,.000303,.035925,Rent,Yes,No,Yes,75,90,738
2,Male,.003933,.524238,Owner,No,No,No,0,19,739
1,Male,.058781,.29391,Owner,No,No,No,0,2,740
18,Male,.009163,0,Owner,No,No,No,0,227,741
14,Male,1.948756,54.95493,Rent,No,No,No,0,206,742
5,Male,.036884,0,Owner,No,No,No,0,71,743
17,Male,.090273,0,Owner,No,No,No,0,216,744
1,Male,.358074,2.252282,Owner,No,No,No,0,2,745
7,Male,.915728,.18315,Owner,No,No,No,0,106,746
3,Male,.005924,0,Owner,No,No,Yes,0,35,747
18,Male,.355453,8.175419999999999,Owner,No,No,No,0,227,748
10,Male,.034909,.45381,Owner,No,No,Yes,5,153,749
13,Female,.180705,4.57184,Owner,No,No,Yes,28.8,194,750
5,Male,.281683,5.29563,Owner,No,No,Yes,0,71,751
1,Male,.676418,0,Owner,No,No,No,0,2,752
18,Male,.048485,1.11516,Owner,No,No,No,0,227,753
1,Male,.08322,2.32184,Owner,No,No,Yes,0,2,754
18,Male,.073572,1.55972,Owner,No,No,No,0,227,755
13,Female,.149382,3.1669,Owner,No,No,Yes,19.2,194,756
