country;year1960;year1961;year1962;region
Nepal;339201;350233,1987;361936,4982;asia
Netherlands;6869005;6977663,896;7101405,27;europe
New Caledonia;29546;32084,74483;34423,33517;oceania
New Zealand;1802719;1852923,99;1914992,064;oceania
Nicaragua;702732;735270,8825;769710,2715;america
Niger;188013;200549,205;213498,0369;africa
Nigeria;7313977;7951911,658;8503728,885;africa
Northern Mariana Islands;5119;5451,9718;5716,91135;oceania
Norway;1786918;1857227,661;1927869,645;europe
Oman;92705;100351,504;109727,3381;asia
Pakistan;10133071;10528626,81;10925022,92;asia
Palau;no data;5654,817536;5826,5263;oceania
Panama;464159;486586,0426;508567,5315;america
Papua New Guinea;76978;81522,73626;90103,67526;oceania
Paraguay;678907;698621,2531;720056,6077;america
Peru;4647955;4885741,542;5135213,465;america
Philippines;8198312;8218076,929;8568106,578;oceania
Poland;14159719;14484238,03;14786183,58;europe
Portugal;3130085;3155370,254;3212597,478;europe
Puerto Rico;1049310;1102412,905;1159845,027;america
Qatar;38340;43754,30804;48079,60965;asia
Romania;6293826;6477006,897;6649636,215;europe
Russia;64504586;66218562,01;68047369,13;europe
Rwanda;69298;70644,1087;74973,52421;africa
St. Kitts and Nevis;14076;14293,43269;14483,65275;america
St. Lucia;18585;19052,6;19570,48;america
St. Vincent and the Grenadines;11251;21689,95891;22354,89186;america
Samoa;20774;21528,133;22262,07352;oceania
San Marino;no data;7893,063144;8276,285568;europe
Sao Tome and Principe;10344;11121,149;11848,38698;africa
Saudi Arabia;1275391;1366041,774;1477184,286;asia
Senegal;708855;741053,1296;783041,1344;africa
Serbia;no data;2002595,98;2083741,632;europe
Seychelles;11551;12336,15156;13147,92991;africa
Sierra Leone;392123;398760,8803;418049,6701;africa
Singapore;1646000;1702000;1750000;oceania
Slovak Republic;1388542;1432703,397;1478941,132;europe
Slovenia;445562;463295,916;479831,0246;europe
Solomon Islands;6861;7372,973132;7965,795936;oceania
Somalia;487677;514672,9492;542377,5495;africa
South Africa;8106536;8390673,65;8652051,035;africa
Spain;17237618;17677896,76;18133591,75;europe
Sri Lanka;1590435;1695005,6;1765806,87;asia
Sudan;1250107;963058,3979;1035071,169;africa
Suriname;137170;140873,2691;144654,5021;america
Swaziland;13616;15832,57403;18082,60783;africa
Sweden;5423001;5519919,172;5619499,984;europe
Switzerland;2734617;2807280,2;2915004,916;europe
Syria;1700442;1764469,733;1854339,353;asia
Tajikistan;691390;725119,842;762471,2024;asia
Tanzania;523790;560447,2477;593967,5382;africa
Thailand;5445488;5568508,057;5771934,035;asia
Timor-Leste;50551;52596,08557;54854,24468;asia
Togo;158206;176392,3314;193552,0012;africa
