admin3name,admin3_pcod,admin2_name,admin2_pcod,admin1_name,admin1_pcod,admin0_name,admin0_pcod,valid_on,version,lang,lat,long
Zequala,ET030801,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.80713515,38.70617049
Sekota,ET030802,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.63664237,39.01654057
Dehana,ET030803,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.43739678,38.6734772
Gaz Gibla,ET030804,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.33663721,39.07041371
Abergele (AM),ET030805,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,13.07739886,38.88136361
Sahila,ET030806,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.93597209,38.49771014
Sekota town,ET030807,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.61841197,39.03628405
Tsagbeji,ET030808,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.76988718,39.17292028
Amde Work town,ET030809,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.43033245,38.716375
Dangila,ET030901,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.22691795,36.77062053
Banja,ET030902,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.97166642,36.91107451
Ankasha,ET030903,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.84510049,36.83099207
Guangua,ET030904,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.78042608,36.50308457
Fagta Lakoma,ET030905,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.0848568,36.89775731
Jawi,ET030906,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.70926028,36.40693212
Guagusa Shikudad,ET030907,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.82732043,37.02612572
Ayehu Guwagusa,ET030908,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.68101075,36.751802
Agew Gimija Bet town,ET030909,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.84972718,36.89184333
Adiss Kidame town,ET030910,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.08034565,36.88451163
Tilili town,ET030911,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.85483778,37.02058346
Fendika town,ET030912,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.56660389,36.4887437
Injibara town,ET030996,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.96773604,36.92554297
Zigem town,ET030997,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.71203375,36.49245256
Dangila town,ET030998,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.26275422,36.84561178
Chagni town,ET030999,Awi,ET0309,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.95776608,36.50743995
Dewa Cheffa,ET031001,Oromo Nationality Administration,ET0310,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.77935402,39.84735625
Bati,ET031002,Oromo Nationality Administration,ET0310,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.16163078,40.05626941
Jilye Tumuga,ET031003,Oromo Nationality Administration,ET0310,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.2599921,40.05138012
Artuma Fursi,ET031004,Oromo Nationality Administration,ET0310,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.54485654,40.01133765
Dewa Harewa,ET031005,Oromo Nationality Administration,ET0310,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.76580731,40.04609631
Kemisie town,ET031006,Oromo Nationality Administration,ET0310,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.71837569,39.87184643
Chef Robit town,ET031007,Oromo Nationality Administration,ET0310,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.551335,39.93417466
Senbete town,ET031008,Oromo Nationality Administration,ET0310,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,10.31771719,40.00269549
Bati town,ET031099,Oromo Nationality Administration,ET0310,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.19241901,40.01491292
Amba Giorgis town,ET031103,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.76594703,37.62156784
Shawra town,ET031104,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.93222972,36.87288422
Kolla Debba town,ET031105,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.42552441,37.32936129
Chilga 1,ET031106,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.61159767,37.06154611
Tegede,ET031107,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,13.29564332,37.05151366
Lay Armacho,ET031108,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.76589691,37.36945569
Wegera,ET031109,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.78179754,37.67598045
Gonder Zuria,ET031110,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.38523339,37.59097252
East Dembia,ET031111,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.41156362,37.36157589
Chilga 2,ET031112,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.559163,37.0275721
Alefa,ET031115,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.93612641,36.74140123
West Belesa,ET031116,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.49430673,37.84734891
East Belesa,ET031117,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.51437934,38.19531468
Gondar town,ET031118,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.57552819,37.45033944
Masero Denb /Central Armacho,ET031119,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,13.00904254,36.94145598
Tach Armacho,ET031120,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,13.05271816,37.23841491
Takusa,ET031121,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.23543618,36.77145052
Kinfaz Begela,ET031122,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.79610032,38.07576174
West Dembiya,ET031125,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.39231469,37.20857602
Aykel town,ET031199,Central Gondar,ET0311,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.55037934,37.06514335
Adagn Ager Chaqo,ET031205,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.60662093,36.78755487
Mirab Armacho,ET031206,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,13.33012817,36.51944668
Metema,ET031213,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.83792046,36.40078196
Quara,ET031214,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.2084023,35.86082546
Midre Genet,ET031223,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,13.69571833,36.46439616
Metema Yohanes town,ET031224,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.9386872,36.1673577
Gendawuha town,ET031292,West Gondar,ET0312,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,12.77681499,36.4077082
Semen Achefer,ET031301,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.70618705,36.95510585
Merawi town,ET031302,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.41595207,37.15962932
Yilmana Densa,ET031303,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.26233611,37.49203448
Mecha,ET031304,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.46207642,37.13149929
Debub Achefer,ET031305,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.47647833,36.84181881
Debub Mecha,ET031306,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.2586353,37.17880057
Gonje,ET031307,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.17595276,37.67002298
Dure Bete,ET031308,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.35783028,36.95294734
Adete town,ET031309,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.26725647,37.48964112
Bahir Dar Zuria,ET031310,North Gojam,ET0313,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.56804913,37.34173893
Bahir Dar town,ET031401,Bahir Dar town Admin,ET0314,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.58403152,37.38877895
Zege town,ET031403,Bahir Dar town Admin,ET0314,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.69627862,37.32164073
Deq,ET031404,Bahir Dar town Admin,ET0314,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.91257819,37.2733105
Meshenti town,ET031405,Bahir Dar town Admin,ET0314,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.4662096,37.26868937
Tis Abay town,ET031406,Bahir Dar town Admin,ET0314,Amhara,ET03,Ethiopia,ET,2021-12-14,v04,en,11.49629644,37.56756204
Mana Sibu,ET040101,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.75741674,35.02729047
Nejo,ET040102,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.5401407,35.51746744
Gimbi,ET040103,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.1558179,35.90530122
Lalo Asabi,ET040104,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.20542892,35.67131632
Kiltu Kara,ET040105,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.71163074,35.27848532
Boji Dirmeji,ET040106,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.40116662,35.63352431
Ayira,ET040107,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.13148503,35.31226706
Jarso (West Wellega),ET040108,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.44181521,35.31367039
Gudetu Kondole,ET040109,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.39712249,34.75751458
Boji Chekorsa,ET040110,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.28545616,35.50582437
Babo,ET040111,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.44638073,35.09674181
Yubdo,ET040112,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.97353704,35.45758664
Gaji,ET040113,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.03713899,35.59559623
Haru,ET040114,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.98089083,35.85581518
Nole Kaba,ET040115,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.80474208,35.78509931
Begi,ET040116,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.33581659,34.54311663
Homa,ET040117,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.06086317,35.71286487
Sayo Nole,ET040118,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.83875687,35.5815438
Guliso,ET040119,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.2335794,35.34620511
Gimbi town,ET040193,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.1741768,35.83046172
Leta Sibu,ET040197,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.61808871,35.34803272
Mendi town,ET040198,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.80065068,35.10235457
Nejo town,ET040199,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.50225099,35.50567124
Limu (OR),ET040201,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.71458511,36.46146704
Ibantu,ET040202,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,10.07099484,36.44456483
Gida Ayana,ET040203,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.90600261,36.64649079
Haro Limu,ET040204,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.81651636,36.25417276
Boneya Boshe,ET040205,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.91587174,37.03853272
Wayu Tuka,ET040206,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.02571148,36.68537155
Bila Seyo,ET040207,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.350006,36.95957038
Gobu Seyo,ET040208,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.16501195,36.97606055
Sibu Sire,ET040209,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.15534529,36.81067171
Diga,ET040210,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.04887297,36.31808923
Sasiga,ET040211,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.22821062,36.38175211
Leka Dulecha,ET040212,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.90191273,36.46484998
Guto Gida,ET040213,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.27821218,36.59537774
Jimma Arjo,ET040214,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.7184005,36.54746154
Nunu Kumba,ET040215,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.71292326,36.72002704
Wama Hagalo,ET040216,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.79700698,36.89209526
Kiremu,ET040217,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,10.05963985,36.80954041
Nekemte town,ET040297,East Wellega,ET0402,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.07589749,36.54458541
Darimu,ET040301,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.61918456,35.37784422
Alge Sachi,ET040302,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.59430862,35.78013666
Yayu,ET040309,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.27242502,35.93943751
Metu Zuria,ET040310,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.3564602,35.40843903
Ale,ET040311,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.12167211,35.51822734
Bure (OR),ET040312,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.32826225,35.12835295
Sale Nono,ET040313,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.88876126,35.188423
Becho (Ilu Aba Bora),ET040314,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.0912727,35.71043877
Bilo Nopha,ET040315,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.43026238,35.53031499
Hurumu,ET040316,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.22741327,35.78641074
Didu,ET040317,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.93748206,35.54534314
Halu /Huka,ET040319,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.18240558,35.34784366
Metu town,ET040320,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.30701137,35.57925602
Dorani,ET040324,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.44931348,35.82046881
Limu Seka,ET040401,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.40031057,36.88403081
Limu Kosa,ET040402,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.02773753,36.95658359
Sekoru,ET040403,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.01136724,37.46286104
Tiro Afeta,ET040404,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.96015528,37.25370579
Kersa (Jimma),ET040405,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.77759054,37.03263165
Mena (Jimma),ET040406,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.78104097,36.76015216
Goma,ET040407,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.88006233,36.58561979
Gera,ET040408,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.6967661,36.24226646
Seka Chekorsa,ET040409,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.5675557,36.65142243
Dedo,ET040410,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.43864253,36.8396741
Omo Nada,ET040411,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.63679392,37.20162073
Sigmo,ET040412,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.92331941,36.01924517
Setema,ET040413,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.06410889,36.21512305
Shebe Sambo,ET040414,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.51804431,36.46225275
Chora (Jimma),ET040415,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.3547419,37.15775796
Gumay,ET040416,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.97133964,36.43062613
Agaro town,ET040417,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.85647127,36.59673322
Jimma town,ET040418,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.66445144,36.82963616
Mancho,ET040490,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.38793351,37.03865727
Omo Beyam,ET040491,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.45234455,37.26926648
Botor Tolay,ET040495,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.28070028,37.32663681
Nono Benja,ET040499,Jimma,ET0404,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.66784718,37.08889235
Illu Galan,ET040500,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.97037849,37.29386121
Ginde Beret,ET040501,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.63656639,37.75168215
Jeldu,ET040502,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.30498855,38.08959566
Ambo Zuria,ET040503,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.04488152,37.85683464
Mida Kegn,ET040504,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.20074569,37.56904535
Cheliya,ET040505,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.05522539,37.40825111
Bako Tibe,ET040506,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.09593407,37.15408968
Dano,ET040507,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.75529959,37.2899582
Nono,ET040508,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.52212697,37.43883135
Tikur Enchini,ET040509,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.79285262,37.64445154
Dendi,ET040510,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.97204371,38.09116229
Ejere /Addis Alem,ET040511,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.06826716,38.36283657
Holeta town,ET040512,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.06321656,38.49857785
Adda Berga,ET040513,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.42753798,38.41699038
Meta Robi,ET040514,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.34724486,38.23461603
Ambo town,ET040515,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.97882414,37.86098896
Abuna Ginde Beret,ET040516,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.66800936,37.98160572
Toke Kutaye,ET040517,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.95096981,37.71694995
Jibat,ET040518,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.71472181,37.48537387
Ifata,ET040519,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.18127701,37.9243379
Welmera,ET040520,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.05978271,38.49572539
Ejersa Lafo,ET040590,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.01511639,38.25540569
Cobi,ET040592,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.36183963,37.86173455
Meta Walkite,ET040594,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.57705929,38.23524419
Liban Jawi,ET040597,West Shewa,ET0405,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.92533739,37.5209449
Wara Jarso,ET040601,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.95423207,38.21807098
Dera (OR),ET040602,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,10.21272932,38.63280959
Hidabu Abote,ET040603,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.95933069,38.51574322
Kuyu,ET040604,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.74639333,38.30236209
Degem,ET040605,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.81495509,38.6006934
Gerar Jarso,ET040606,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.7920198,38.73442512
Debre Libanos,ET040607,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.65994522,38.8530445
Wuchale,ET040608,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.58170275,38.9150384
Abichugna Gne'a,ET040609,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.60861178,39.23336857
Kimbibit,ET040610,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.40242126,39.22946367
Sheno town,ET040611,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.31260961,39.26506367
Fiche town,ET040613,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.78772472,38.73659368
Yaya Gulele,ET040614,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.59300642,38.62180096
Jida,ET040615,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.3990187,39.00310073
Garba Guracha,ET040616,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.80870068,38.41599539
Aleltu,ET040617,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.21332311,39.13053637
Bereh,ET040619,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.14029536,38.97442579
Sululta (OR),ET040620,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.3650006,38.74131924
Chancho town,ET040621,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.29877877,38.74612325
Mulo,ET040622,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.28594838,38.57415393
Sendafa town,ET040623,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,9.15905304,39.01992415
Fentale,ET040701,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.8849528,39.88639637
Boset,ET040702,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.6420822,39.54497619
Adama,ET040703,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.45698831,39.22230215
Lome (OR),ET040704,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.61639875,39.14299473
Gimbichu,ET040705,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.99896376,39.18752562
Ada'a,ET040706,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.75888482,39.03653257
Dugda,ET040707,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,8.17684863,38.76487465
Adama Tulu Jido Kombolcha,ET040708,East Shewa,ET0407,Oromia,ET04,Ethiopia,ET,2021-12-14,v04,en,7.8078516,38.66003913
